source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,month,year
Oregon DOT,,8379,2014-02-15 15:36:00,,"OR 34, milepost 6.5",,"OR 34, milepost 6.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8379.0,United States,US,Oregon,2033.0,Waldport,9.42468,07/06/2016 03:09:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.9539,44.4064,2,2014
laist.com,http://laist.com/2009/11/13/brief_rain_brings_mudslide_in_la_cr.php,1295,2009-11-12 00:00:00,,"La Canada Flintridge neighborhood, California","A short burst of rain last night--two inches in 5 minutes around 11 p.m.--caused a mudslide to enter into a La Canada Flintridge neighborhood, damaging six homes and some vehicles. No one was hurt, but it did demonstrate to everyone that when the rain comes, evacuations might be a good idea. Neighborhoods surrounding the Angeles National Forest have been of concern after the still-burning Station Fire charred some 250 square miles. A recent Forest Service report obtained by the Associated Press said that the fire's quick spread was due to steep terrain, inaccessible to hand crews. ","La Canada Flintridge neighborhood, California",5km,mudslide,rain,small,unknown,0.0,,,,,glc,1295.0,United States,US,California,20246.0,La Cañada Flintridge,2.82194,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-118.1964,34.2236,11,2009
Bakersfield,http://www.bakersfield.com/news/2016/05/06/northbound-i-5-at-fort-tejon-reopens-after-mudslide.html,9391,2016-05-06 17:00:00,,"Interstate 5 northbound at Fort Tejon, California, USA","The northbound lanes of Interstate 5 at Fort Tejon reopened Friday night after being closed by a mudslide, according to the California Highway Patrol. The CHP tweeted the closure shortly before 8 p.m. and said at 9:05 p.m. the highway had reopened. It was not immediately clear exactly how long it had been shuttered. The CHP traffic incident page online said that at 8:29 p.m., the road reopened with CHP escorts and traffic was heavy. By 9:09 p.m., it reported traffic was moving smoothly. There were reports as early as 4:45 p.m. that mud was “coming into” the road, the incident page showed. The National Weather Service had issued a flash flood watch for the Kern County mountains until 11 p.m. Friday. It also issued an urban and small stream flood advisory for areas prone to poor drainage in central Kern County.","Interstate 5 northbound at Fort Tejon, California, USA",1km,mudslide,rain,small,above_road,0.0,0.0,,,,glc,9391.0,United States,US,California,1468.0,Lebec,3.11748,08/03/2016 06:21:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-118.8813,34.8662,5,2016
Oregon DOT,,8753,2011-12-30 04:04:00,,"OR 126, milepost 16",,"OR 126, milepost 16",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8753.0,United States,US,Oregon,8466.0,Florence,22.1954,07/08/2016 03:59:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.83,44.027,12,2011
Oregon DOT,,7974,2016-03-12 15:19:00,,"OR 22, milepost 42.7",,"OR 22, milepost 42.7",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,7974.0,United States,US,Oregon,1855.0,Mill City,18.38628,06/30/2016 04:19:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.2499,44.7236,3,2016
newsinfo.inquirer,http://newsinfo.inquirer.net/breakingnews/regions/view_article.php?article_id=110426,415,2008-01-06 00:00:00,,"Oregon, along highway 126 just east of Mapleton",officials forced to close highway 126 at milepost 25,"Oregon, along highway 126 just east of Mapleton",5km,landslide,rain,small,unknown,,,,,,glc,415.0,United States,US,Oregon,8466.0,Florence,21.45985,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.8405,44.0302,1,2008
Seattle Times,http://www.seattletimes.com/seattle-news/mudslide-briefly-blocks-rr-tracks-near-edmonds/,7872,2010-12-09 06:30:00,,Between Edmonds and Mukilteo,Heavy rain caused a mudslide that brought down some trees near the Burlington Northern Santa Fe tracks between Edmonds and Mukilteo,Between Edmonds and Mukilteo,5km,mudslide,downpour,small,above_road,0.0,0.0,,,,glc,7872.0,United States,US,Washington,39709.0,Edmonds,2.6893,06/28/2016 06:27:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.3534,47.8287,12,2010
gazettetimes,http://www.gazettetimes.com/news/local/article_9ed8b716-3dfa-11e0-8e9a-001cc4c03286.html,3140,2011-02-21 04:40:00,,"rt 24, 9 mi west of Alsea, COR","February 21, 2011 6:00 pm  The westbound lane of Highway 34 nine miles west of Alsea near milepost 30 is expected to remain closed until sometime this morning as Oregon Department of Transportation crews work to clear a landslide. The ODOT crews worked from sunrise to sunset Monday after 400 to 500 cubic yards of debris fell from a steep hill onto a winding portion of the main east-west highway about 4:40 a.m. Monday.  ...  Little said the area typically doesn’t see many landslides. He theorized that last week’s rain might have been a contributing factor.","rt 24, 9 mi west of Alsea, COR",5km,landslide,rain,medium,unknown,0.0,,,,,glc,3140.0,United States,US,Oregon,2033.0,Waldport,29.82656,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.7083,44.3543,2,2011
Oregon DOT,,8007,2011-01-21 17:49:00,,"US 101, milepost 54.5",,"US 101, milepost 54.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8007.0,United States,US,Oregon,1286.0,Bay City,5.57931,06/30/2016 05:19:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.9343,45.5616,1,2011
oregonlive,http://www.oregonlive.com/roadreport/index.ssf/2012/01/mudslide_closes_clackamas_rive.html,4152,2012-01-19 15:00:00,,"Clackamas River Drive, OR","OREGON CITY -- A mudslide has closed Clackamas River Drive east of Oregon City and county officials are advising motorists to use alternate routes. Ellen Rogalin, Clackamas County Transportation Department spokeswoman, said the Clackamas River Drive is closed between Forsythe Road in Oregon City and Springwater Road in the Carver area. Rogalin said no injuries were reported when the slide occurred around 3 p.m. at Milepost 1.56. ","Clackamas River Drive, OR",5km,mudslide,downpour,small,unknown,0.0,,,,,glc,4152.0,United States,US,Oregon,11497.0,Gladstone,1.84117,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.5715,45.3828,1,2012
themapleleafer,http://www.themapleleafer.com/2010/12/list-of-landslides-on-the-burke-gilman-trail/,2850,2010-12-13 09:00:00,,"13552 Riviera, Burke-Gilman trail, Seattle, WA","13552 Riviera: large slide completely covering trail, trees holding debris from going into Riviera; Parks crews are working on clearing this slide","13552 Riviera, Burke-Gilman trail, Seattle, WA",exact,landslide,downpour,medium,unknown,0.0,,,,,glc,2850.0,United States,US,Washington,12598.0,Lake Forest Park,3.22103,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.2818,47.7278,12,2010
seattletimes.nwsource,http://seattletimes.nwsource.com/html/localnews/2010832275_apwamudslideontracks.html,1414,2010-01-19 07:30:00,,"10 miles north of Seattle, WA","Burlington Northern Santa Fe says another mudslide is blocking train tracks nearly 10 miles north of Seattle. It's the third slide in the same area since Saturday morning. Burlington Northern spokesman Gus Melonas says a rain-saturated slope gave way around 7:30 a.m. Tuesday. The slide covers both tracks and is about 20 feet deep and 40 feet wide. The slide took about 40 trees down, and flowed over the seawall and into the Puget Sound.","10 miles north of Seattle, WA",5km,mudslide,downpour,medium,unknown,0.0,,,,,glc,1414.0,United States,US,Washington,53007.0,Shoreline,1.75223,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.321,47.7632,1,2010
redwoodtimes,http://www.redwoodtimes.com/ci_20224268/landslide-occurs-river-behind-caltrans,4281,2012-03-20 09:00:00,,"South Fork of the Eel River, CA","A landslide occurred on Tuesday, March 20 on the South Fork of the Eel River sometime between 1 p.m. and 2 p.m. just to the north of what used to be the summer bridge (Carl Carter Bridge) and the Caltrans maintenance yard. The slide was around 120 feet wide and 500-600 feet long and was about halfway across the river. There are trees, rocks, and debris in the muddy mess of redwood and fir trees. The slide did not appear to be moving as of Wednesday morning, but with more rain on the way the debris could potentially be washed downriver causing problems at area bridges. ","South Fork of the Eel River, CA",5km,landslide,rain,medium,unknown,0.0,,,,,glc,4281.0,United States,US,California,1225.0,Redway,2.27505,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.7984,40.1129,3,2012
blog.pe.com,http://blog.pe.com/2013/07/21/mountain-fire-rain-helps-tremendously-though-one-mudslide-is-reported/,5142,2013-07-20 13:30:00,,"Bonita Vista, Ca","Rain Ñ including some downpours Ñ has saved firefighters two or three days of work, says the fire boss in charge of the 27,245-acre brush and timber blaze in the rugged San Jacinto Mountains. By early afternoon, officials had received one report of a mudslide. That incident was in Bonita Vista, an area of about 10 homes. There was no immediate word on damage, said Cal Fire Deputy Chief Glenn Patterson. The Bonita Vista/Apple Canyon area sustained the worst property damage from the fire Ñ all of the homes and many of the other structures destroyed in the Mountain Fire are in that area.","Bonita Vista, Ca",1km,mudslide,rain,small,unknown,0.0,,,,,glc,5142.0,United States,US,California,11698.0,Foothill Ranch,0.44095,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-117.6656,33.6859,7,2013
Thousand Oaks Acorn,http://www.toacorn.com/news/2015-01-15/Front_Page/Council_answers_cries_of_DV_homeowners.html,6716,2014-12-11 00:00:00,,Dos Vientos,"After heavy rain provoked severe mudslides in the Dos Vientos area between Dec. 11 and 12, employees with the National Resources Conservation Service, a federal agency that works with private landowners to help them maintain natural resources, viewed the damaged areas and suggested improvements on six of the 28 Dos Vientos properties affected by the storm. The selected properties met all eight criteria required to receive the aid, including the determinations that the damage was caused by a natural disaster and posed a threat to life or property.",Dos Vientos,5km,mudslide,downpour,medium,burned_area,0.0,0.0,,http://www.toacorn.com/sites/www.toacorn.com/files/images/2015-01-15/2p1.jpg,,glc,6716.0,United States,US,California,3249.0,Casa Conejo,4.76189,01/26/2015 04:13:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-118.993,34.1716,12,2014
Oregon DOT,,8582,2012-10-04 21:09:00,,"OR 37, milepost 15.5",,"OR 37, milepost 15.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8582.0,United States,US,Oregon,16612.0,Pendleton,21.74983,07/07/2016 03:41:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-118.9001,45.8515,10,2012
Seattle Times,http://www.seattletimes.com/seattle-news/rains-trigger-mudslides-rail-line-blocked-north-of-seattle/,7806,2006-01-10 09:00:00,,University of Washington fraternity annex north of the university in Seattle.,"In Seattle, a clogged drain was blamed for a mudslide that caused a retaining wall to bulge at a fraternity annex north of the university. City firefighters evacuated five residents and cut electricity to the building.",University of Washington fraternity annex north of the university in Seattle.,5km,mudslide,unknown,small,other,0.0,0.0,,,,glc,7806.0,United States,US,Washington,1001.0,Yarrow Point,6.51802,06/23/2016 03:03:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.2992,47.6656,1,2006
Q13,http://q13fox.com/2015/01/05/elderly-woman-dog-trapped-in-house-by-mudslide-rescued-by-firefighters-who-cut-hole-in-roof/,6638,2015-01-06 09:00:00,,Aberdeen,Police and firefighters in the Washington coast city of Aberdeen have rescued an elderly woman trapped in her house when a mudslide caused by torrential rain swept the house off its foundation.,Aberdeen,10km,mudslide,downpour,medium,natural_slope,0.0,1.0,,https://tribkcpq.files.wordpress.com/2015/01/aberdeen11.jpg,,glc,6638.0,United States,US,Washington,16896.0,Aberdeen,2.19242,01/09/2015 10:39:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.8439,46.9795,1,2015
Lake County News,http://www.lakeconews.com/index.php?option=com_content&view=article&id=39667:downed-trees-mudslides-and-flooded-roadways-reported-around-lake-county-numerous-roads-closed&catid=1:latest&Itemid=197,6477,2014-12-11 09:00:00,,New Long Valley Road at Highway 20 east of Clearlake Oaks,New Long Valley Road at Highway 20 east of Clearlake Oaks also was closed following reports of a mudslide,New Long Valley Road at Highway 20 east of Clearlake Oaks,1km,mudslide,downpour,small,above_road,0.0,0.0,,,,glc,6477.0,United States,US,California,15250.0,Clearlake,8.1794,12/11/2014 11:10:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.5716,39.0182,12,2014
KIRO,http://www.kirotv.com/news/news/landslide-causes-giant-cracks-highway-101/nTF4Q/,4633,2012-11-26 00:00:00,,"Artic, WA",A landslide badly damaged a busy highway in Grays Harbor County near the town of Artic.,"Artic, WA",10km,landslide,rain,medium,below_road,,,,http://media.cmgdigital.com/shared/lt/lt_cache/thumbnail/400/img/photos/2012/11/26/a9/5d/12vGraysHarbor_Slide.jpg,,glc,4633.0,United States,US,Washington,2685.0,Central Park,3.4666,01/13/2016 10:17:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.7131,46.8856,11,2012
Seattle PI,http://www.seattlepi.com/local/transportation/article/Mud-on-tracks-stops-trains-1223585.php,7799,2006-12-26 23:00:00,,Burlington Northern Santa Fe Railway tracks in Carkeek Park in Seattle,"Railroad crews cleared the 30-foot-long, 3-foot-deep spill early Wednesday morning. But as a safety precaution, service for Amtrak and Sound Transit trains was temporarily stopped.",Burlington Northern Santa Fe Railway tracks in Carkeek Park in Seattle,1km,mudslide,downpour,small,above_road,0.0,0.0,,,,glc,7799.0,United States,US,Washington,53007.0,Shoreline,5.5742,06/22/2016 07:44:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.3793,47.7125,12,2006
Oregon DOT,,8624,2012-03-26 23:30:00,,"OR 501, milepost 8",,"OR 501, milepost 8",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8624.0,United States,US,Oregon,4584.0,Philomath,34.38505,07/07/2016 05:21:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.6395,44.2997,3,2012
KATU,http://katu.com/news/local/mudslide-leaves-500-yards-of-debris-on-highway-101,9613,2016-10-14 00:00:00,,Highway 101 near milepost 176,The northbound lanes of Oregon's coastal highway were buried in nearly six feet of debris early Friday after a mudslide along a stretch of the highway just south of Yachats.,Highway 101 near milepost 176,5km,landslide,unknown,small,above_road,0.0,0.0,,http://static-32.sinclairstoryline.com/resources/media/d092612c-f370-4548-908c-2bfa742055a4-large16x9_US101slide101316.jpeg?1476461488846,,glc,9613.0,United States,US,Oregon,2033.0,Waldport,15.81559,10/19/2016 03:10:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-124.1129,44.288,10,2016
Oregon DOT,,8104,2015-12-08 18:29:00,,"US 101, milepost 57",,"US 101, milepost 57",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8104.0,United States,US,Oregon,1286.0,Bay City,4.14172,07/01/2016 03:32:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.8924,45.5598,12,2015
Oregon DOT,,8212,2015-02-06 08:14:00,,"OR 66, milepost 12",,"OR 66, milepost 12",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8212.0,United States,US,Oregon,20078.0,Ashland,15.97247,07/01/2016 06:13:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.5376,42.1288,2,2015
Oregon DOT,,8210,2015-02-06 09:02:00,,"US 101, milepost 47",,"US 101, milepost 47",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8210.0,United States,US,Oregon,1312.0,Rockaway Beach,5.91568,07/01/2016 06:11:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.9269,45.6655,2,2015
Seattle Times,http://www.seattletimes.com/seattle-news/weather/heavy-rain-plus-melting-snow-saturates-washington/,9009,2015-12-08 15:00:00,,Highway 2 west of Stevens Pass,"Crews temporarily reduced lanes in both directions on a stretch of Highway 2 west of Stevens Pass because of a mudslide Tuesday afternoon, according to the Washington State Department of Transportation (WSDOT). The roadway reopened less than two hours later.",Highway 2 west of Stevens Pass,1km,mudslide,downpour,medium,above_road,0.0,0.0,,,,glc,9009.0,United States,US,Washington,1965.0,Leavenworth,36.74447,07/18/2016 04:03:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-121.0968,47.7471,12,2015
Peninsula Daily News,http://www.peninsuladailynews.com/article/20150330/NEWS/150339999,6927,2015-05-22 06:10:00,,State Highway 112 at milepost 3,"State Highway 112 was reduced to a single lane twice Monday due to small mud and rock slides on the eastbound lane at milepost 3, east of Neah Bay.",State Highway 112 at milepost 3,10km,landslide,unknown,small,above_road,,,,,,glc,6927.0,United States,US,Washington,3532.0,Forks,45.41327,05/23/2015 01:42:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-124.5245511,48.34812216,5,2015
News Lincoln County Lincoln County's Internet Daily,http://www.newslincolncounty.com/archives/110507#http://www.newslincolncounty.com/archives/110507,5975,2014-03-28 00:00:00,,"Alsea Hwy Philomath, OR 97370","Alsea Highway 34 has suffered another landslide, this time way up the road from Waldport.","Alsea Hwy Philomath, OR 97370",10km,landslide,unknown,small,unknown,0.0,0.0,,,,glc,5975.0,United States,US,Oregon,4584.0,Philomath,11.70894,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.4802,44.4722,3,2014
Oregon DOT,,8214,2015-02-04 08:42:00,,"US 199, milepost 24",,"US 199, milepost 24",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8214.0,United States,US,Oregon,1883.0,Cave Junction,7.71268,07/01/2016 06:14:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.6423,42.2322,2,2015
The Register Guard,http://registerguard.com/rg/news/local/33892149-75/landslide-buckles-highway-42-the-coos-bay-roseburg-highway-closes-roadway-indefinitely.html.csp,9118,2015-12-24 15:00:00,,Highway 42 near the border of Coos and Douglas counties,"The Oregon Department of Transportation says a landslide has buckled Oregon Highway 42, also known as the Coos Bay-Roseburg Highway.  The roadway in southern Oregon is expected to be closed indefinitely near the border of Coos and Douglas counties, The Oregonian reported. Authorities say the 200- to 300-foot-long slide has covered most of the two-lane state highway with mud and rock.  Jared Castle of the Oregon Department of Transportation says the roadway will be closed for at least a week, but it’s too early to say for certain.  The slide happened on Thursday afternoon on a section that has been involved in an effort to straighten out some severe curves along the Middle Fork of the Coquille River.  Heavy rain this month saturated the ground, defeating efforts at erosion control.",Highway 42 near the border of Coos and Douglas counties,exact,landslide,rain,medium,above_road,0.0,0.0,,,,glc,9118.0,United States,US,Oregon,2514.0,Myrtle Point,27.9802,07/22/2016 12:15:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.8241,42.9646,12,2015
Glendale News-Press,"http://www.glendalenewspress.com/news/tn-gnp-friday-morning-rain-updates-rosemont-middle-school-in-the-dark-reverse-911-calls-in-la-crescenta-min-20140228,0,5746413.story#http://www.glendalenewspress.com/news/tn-gnp-friday-morning-rain-updates-ro",5907,2014-02-28 18:00:00,,"1985-2099 E Chevy Chase Dr Glendale, CA 91206","Crews temporarily closed the 2100 block of Chevy Chase and were diverting traffic due to minor mud flow late afternoon on Friday. The closure was a precautionary measure as crews worked secure the area, city spokesman Tom Lorenz said. Earlier this week, public safety officials expressed concerns of potential debris flows in the area of Wilson Terrace and Chevy Chase Canyon. A fire last May scorched 75 acres in the canyon, which prompted fire officials to prepare a debris flow plan for the area. Public Works crews will remain in the area throughout the night to monitor the canyon hillsides.  ","1985-2099 E Chevy Chase Dr Glendale, CA 91206",5km,mudslide,continuous_rain,medium,above_road,0.0,0.0,,,,glc,5907.0,United States,US,California,191719.0,Glendale,3.27148,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-118.2235,34.1559,2,2014
Oregon DOT,,8175,2015-08-09 14:21:00,,"OR 86, milepost 66.5",,"OR 86, milepost 66.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8175.0,United States,US,Oregon,839.0,Council,43.30612,07/01/2016 05:34:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-116.9055,44.9331,8,2015
Oregon DOT,,8209,2015-02-06 10:10:00,,"OR 18, milepost 15.8",,"OR 18, milepost 15.8",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8209.0,United States,US,Oregon,1661.0,Grand Ronde,7.90043,07/01/2016 06:10:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.709,45.0676,2,2015
seattlepi,http://www.seattlepi.com/local/sound/article/Bush-Point-slide-is-the-latest-legacy-of-a-soggy-1350217.php#page-2,3203,2011-03-12 00:00:00,,"East Point rd., Whidbey Shores Neighborhood, Whidbey island, WA","The current slides are only the latest on the South End this year, thanks to near-record rainfall in March.  On March 12 in the Whidbey Shores neighborhood, mud, sand and vegetation, including trees, tumbled from a rain-saturated steep bluff more than  300 feet high, blocking private East Point Drive with a pile of material 100 feet wide and 10 feet tall in places.","East Point rd., Whidbey Shores Neighborhood, Whidbey island, WA",1km,landslide,downpour,small,unknown,0.0,,,,,glc,3203.0,United States,US,Washington,14202.0,Camano,9.04788,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.499,48.095,3,2011
KATU,http://katu.com/news/local/reports-of-trees-down-power-out-as-storm-moves-in,9631,2016-10-15 18:08:00,,Sellwood Boulevard/7th Avenue,The Portland Bureau of Transportation says a landslide has closed Southeast Malden and Sellwood Boulevard/7th Avenue. A KATU photographer captured these photos from the scene.,Sellwood Boulevard/7th Avenue,1km,mudslide,rain,small,below_road,0.0,0.0,,https://pbs.twimg.com/media/Cu2oJwTVYAAIHD6.jpg,,glc,9631.0,United States,US,Oregon,20291.0,Milwaukie,3.05439,10/19/2016 04:58:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.6587,45.4701,10,2016
weblog.signonsandiego,http://weblog.signonsandiego.com/news/breaking/2008/01/rain_causes_a_landslide_in_san.html,414,2008-01-06 00:00:00,,"Baker Street, San Diego","two landslides actually triggered, one at 6:20pm Sat. Jan. 5th, and one at 8:20am Sun. Jan 6th","Baker Street, San Diego",1km,landslide,rain,small,unknown,,,,,,glc,414.0,United States,US,California,42808.0,La Jolla,8.13382,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-117.207,32.8008,1,2008
Union Democrat,http://www.uniondemocrat.com/localnews/4749541-151/mudslide-knocks-out-a-portion-of-tuds-ditch,9653,2016-10-16 00:00:00,,Big Hill water treatment plant,"“A ravine had a huge mudslide, went over the berm and blocked the ditch out,” Hart said.",Big Hill water treatment plant,25km,mudslide,downpour,medium,other,0.0,0.0,,,,glc,9653.0,United States,US,California,2297.0,Columbia,5.01547,10/22/2016 02:32:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-120.3454,38.0455,10,2016
The Wenatchee World,https://www.wenatcheeworld.com/news/2015/nov/10/rock-slide-near-entiat-blocks-highway-97a-lane/,8934,2015-11-09 11:45:00,,"South of Entiat on US 97, Washington","A rock slide about 11:45 a.m. Monday blocked the southbound lane of Highway 97A just south of Entiat for several hours.  Traffic was directed to alternate through in the northbound lane, State Patrol troopers said.","South of Entiat on US 97, Washington",1km,rock_fall,unknown,medium,above_road,0.0,0.0,,,,glc,8934.0,United States,US,Washington,1112.0,Entiat,2.52108,07/13/2016 05:27:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-120.2266,47.6569,11,2015
Camas-Washougal Post-Record,http://www.camaspostrecord.com/news/2015/dec/08/heavy-rains-cause-local-flooding-issues/,8997,2015-12-07 00:00:00,,"Lacamas Lane, between Northwest 44th Avenue and Lake Road","Lacamas Lane, between Northwest 44th Avenue and Lake Road, was also closed Monday after trees fell and small landslides occurred. As of early Tuesday morning, it remained closed.","Lacamas Lane, between Northwest 44th Avenue and Lake Road",exact,landslide,downpour,small,above_road,0.0,0.0,,,,glc,8997.0,United States,US,Washington,19355.0,Camas,2.48769,07/18/2016 01:40:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.4161,45.6062,12,2015
Oregon DOT,,8740,2012-01-08 13:26:00,,"US 26, milepost 105",,"US 26, milepost 105",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8740.0,United States,US,Oregon,2945.0,Warm Springs,2.63952,07/08/2016 02:31:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-121.2328,44.7633,1,2012
Oregon DOT,,8242,2014-12-24 07:13:00,,"US 101, milepost 208",,"US 101, milepost 208",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8242.0,United States,US,Oregon,4154.0,Reedsport,5.47153,07/05/2016 05:05:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-124.1195,43.7488,12,2014
Oregon DOT,,8799,2011-03-16 16:20:00,,"OR 38, milepost 28.5",,"OR 38, milepost 28.5",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8799.0,United States,US,Oregon,1151.0,Drain,26.94812,07/08/2016 05:09:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.6525,43.669,3,2011
King 5,http://www.king5.com/picture-gallery/news/local/2015/01/05/western-washington-flooding-and-landslides/21283401/,6632,2015-01-05 07:39:00,,"Pioneer Avenue in Puyallup, Wash.",Source: Puyallup Police Dept.,"Pioneer Avenue in Puyallup, Wash.",1km,mudslide,rain,small,above_road,0.0,0.0,,http://www.gannett-cdn.com/-mm-/f264efacd138eb77f12a52be933a8903a4cca73b/c=0-0-464-618&r=383&c=0-0-380-510/local/-/media/2015/01/05/NWGroup/KING/635560547177497828-PUYALLUP-LANDSLIDE-from-PPD.jpg,,glc,6632.0,United States,US,Washington,7922.0,Waller,1.24117,01/06/2015 10:56:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.2507,47.1831,1,2015
Oregon DOT,,8266,2014-12-20 10:34:00,,"OR 103, milepost 8.8",,"OR 103, milepost 8.8",exact,landslide,unknown,unknown,above_road,0.0,0.0,,,,glc,8266.0,United States,US,Oregon,2151.0,Vernonia,28.07783,07/05/2016 06:43:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-123.5544,45.86,12,2014
forestpark.posterous,http://forestpark.posterous.com/note-landslide-on-the-wildwood-trail-at-mp-16#!/,3060,2011-01-25 00:00:00,,"Wildwood trail, near Saltzman rd, Forest Park, Portland, OR","1/25/11: A small landslide has taken out a portion of the Wildwood Trail at milepost 16 (just north of the Saltzman Road junction) - see photo above for a visual. This section of the trail is currently impassible due to the amount of debris on the trail and the adjacent slope angle. Portland Parks & Recreation and the Forest Park Conservancy will be working to clear the trail and repair the area in the weeks to come. In the meantime, feel free to contact us with any specific questions.","Wildwood trail, near Saltzman rd, Forest Park, Portland, OR",1km,landslide,downpour,small,unknown,0.0,,,,,glc,3060.0,United States,US,Oregon,14546.0,Cedar Mill,5.20385,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.7774,45.5653,1,2011
